"filename", "language", "JSON", "JSON with Comments", "TypeScript", "XML", "TypeScript JSX", "CSS", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\React——Editor\DEPLOYMENT_GUIDE.md", "Markdown", 0, 0, 0, 0, 0, 0, -134, 0, 0, 0, -61, -195
"c:\Users\Lenovo\Desktop\React——Editor\README.md", "Markdown", 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, -14, -74
"c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\package-lock.json", "JSON", 19094, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19095
"c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\package.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\src\style.css", "CSS", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\tsconfig.json", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Lenovo\Desktop\React——Editor\client\components.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Lenovo\Desktop\React——Editor\client\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 2, 24
"c:\Users\Lenovo\Desktop\React——Editor\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\Lenovo\Desktop\React——Editor\client\package-lock.json", "JSON", 7547, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7548
"c:\Users\Lenovo\Desktop\React——Editor\client\package.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 74
"c:\Users\Lenovo\Desktop\React——Editor\client\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\React——Editor\client\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\Desktop\React——Editor\client\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 0, 7, 8, 81
"c:\Users\Lenovo\Desktop\React——Editor\client\src\Context\AuthContext\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 173, 0, 0, 0, 0, 20, 19, 212
"c:\Users\Lenovo\Desktop\React——Editor\client\src\Context\AuthContext\useAuth.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Lenovo\Desktop\React——Editor\client\src\Context\playgroundcontent.tsx", "TypeScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 0, 8, 10, 127
"c:\Users\Lenovo\Desktop\React——Editor\client\src\action.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Users\Lenovo\Desktop\React——Editor\client\src\api\auth\auth.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 5, 36
"c:\Users\Lenovo\Desktop\React——Editor\client\src\api\auth\types.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
