Date : 2025-12-11 09:25:15
Directory : c:\Users\Lenovo\Desktop\React——Editor\client
Total : 85 files,  33350 codes, 535 comments, 929 blanks, all 34814 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          8 |     26,814 |          4 |         10 |     26,828 |
| TypeScript JSX     |         42 |      4,835 |        321 |        584 |      5,740 |
| TypeScript         |         21 |        791 |        199 |        152 |      1,142 |
| Markdown           |          2 |        554 |          3 |        139 |        696 |
| CSS                |          4 |        274 |          8 |         38 |        320 |
| HTML               |          3 |         33 |          0 |          3 |         36 |
| JSON with Comments |          2 |         25 |          0 |          1 |         26 |
| JavaScript         |          1 |         22 |          0 |          2 |         24 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                             |         85 |     33,350 |        535 |        929 |     34,814 |
| . (Files)                                                                                     |         10 |      7,759 |          6 |         15 |      7,780 |
| code-start                                                                                    |          7 |     19,159 |          0 |         13 |     19,172 |
| code-start\react-ts                                                                           |          7 |     19,159 |          0 |         13 |     19,172 |
| code-start\react-ts (Files)                                                                   |          3 |     19,125 |          0 |          3 |     19,128 |
| code-start\react-ts\public                                                                    |          1 |          1 |          0 |          0 |          1 |
| code-start\react-ts\src                                                                       |          3 |         33 |          0 |         10 |         43 |
| public                                                                                        |          1 |          1 |          0 |          0 |          1 |
| src                                                                                           |         67 |      6,431 |        529 |        901 |      7,861 |
| src (Files)                                                                                   |          5 |        286 |         16 |         42 |        344 |
| src\Context                                                                                   |          3 |        291 |         28 |         30 |        349 |
| src\Context (Files)                                                                           |          1 |        109 |          8 |         10 |        127 |
| src\Context\AuthContext                                                                       |          2 |        182 |         20 |         20 |        222 |
| src\api                                                                                       |          3 |         59 |         10 |         16 |         85 |
| src\api (Files)                                                                               |          1 |         12 |          5 |          8 |         25 |
| src\api\auth                                                                                  |          2 |         47 |          5 |          8 |         60 |
| src\assets                                                                                    |          1 |          1 |          0 |          0 |          1 |
| src\components                                                                                |         25 |      2,982 |        190 |        362 |      3,534 |
| src\components (Files)                                                                        |         12 |      1,580 |        110 |        211 |      1,901 |
| src\components\CoderEditor                                                                    |          2 |         90 |         21 |         10 |        121 |
| src\components\Control-Router                                                                 |          2 |         33 |          3 |          7 |         43 |
| src\components\FileTree                                                                       |          1 |        674 |         56 |         66 |        796 |
| src\components\ui                                                                             |          8 |        605 |          0 |         68 |        673 |
| src\lib                                                                                       |          1 |          5 |          0 |          2 |          7 |
| src\pages                                                                                     |          9 |      1,468 |         96 |        168 |      1,732 |
| src\template                                                                                  |          4 |         85 |          0 |         13 |         98 |
| src\types                                                                                     |          2 |         48 |          1 |          7 |         56 |
| src\types (Files)                                                                             |          1 |         41 |          1 |          7 |         49 |
| src\types\users                                                                               |          1 |          7 |          0 |          0 |          7 |
| src\utils                                                                                     |         13 |      1,088 |        170 |        247 |      1,505 |
| src\yjs                                                                                       |          1 |        118 |         18 |         14 |        150 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                      | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\package-lock.json            | JSON               |     19,094 |          0 |          1 |     19,095 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\package.json                 | JSON               |         23 |          0 |          1 |         24 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\public\index.html            | HTML               |          1 |          0 |          0 |          1 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\src\App.tsx                  | TypeScript JSX     |         10 |          0 |          3 |         13 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\src\index.tsx                | TypeScript JSX     |          9 |          0 |          4 |         13 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\src\style.css                | CSS                |         14 |          0 |          3 |         17 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\tsconfig.json                | JSON with Comments |          8 |          0 |          1 |          9 |
