"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "CSS", "XML", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\package-lock.json", "JSON", 19094, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19095
"c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\package.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\src\App.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\src\index.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\src\style.css", "CSS", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\tsconfig.json", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Lenovo\Desktop\React——Editor\client\components.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Lenovo\Desktop\React——Editor\client\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 2, 24
"c:\Users\Lenovo\Desktop\React——Editor\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\Lenovo\Desktop\React——Editor\client\package-lock.json", "JSON", 9570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9571
"c:\Users\Lenovo\Desktop\React——Editor\client\package.json", "JSON", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 86
"c:\Users\Lenovo\Desktop\React——Editor\client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\React——Editor\client\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\Desktop\React——Editor\client\src\App.tsx", "TypeScript JSX", 0, 0, 0, 84, 0, 0, 0, 0, 0, 23, 26, 133
"c:\Users\Lenovo\Desktop\React——Editor\client\src\action.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 3, 23
"c:\Users\Lenovo\Desktop\React——Editor\client\src\api\ai\ai.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Lenovo\Desktop\React——Editor\client\src\api\ai\types.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Lenovo\Desktop\React——Editor\client\src\api\auth\auth.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 8, 8, 48
"c:\Users\Lenovo\Desktop\React——Editor\client\src\api\auth\types.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Lenovo\Desktop\React——Editor\client\src\api\room\api.ts", "TypeScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 18, 17, 106
"c:\Users\Lenovo\Desktop\React——Editor\client\src\api\room\types.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 14, 14, 89
"c:\Users\Lenovo\Desktop\React——Editor\client\src\api\socket.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 8, 10, 48
"c:\Users\Lenovo\Desktop\React——Editor\client\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\AIChat\ChatHeader.tsx", "TypeScript JSX", 0, 0, 0, 106, 0, 0, 0, 0, 0, 7, 10, 123
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\AIChat\ChatInput.tsx", "TypeScript JSX", 0, 0, 0, 96, 0, 0, 0, 0, 0, 8, 11, 115
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\AIChat\ChatMessage.tsx", "TypeScript JSX", 0, 0, 0, 152, 0, 0, 0, 0, 0, 15, 10, 177
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\AIChat\ChatMessages.tsx", "TypeScript JSX", 0, 0, 0, 69, 0, 0, 0, 0, 0, 13, 8, 90
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\AIChat\ChatSidebar.tsx", "TypeScript JSX", 0, 0, 0, 67, 0, 0, 0, 0, 0, 8, 7, 82
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\AIChat\CodeBlock.tsx", "TypeScript JSX", 0, 0, 0, 67, 0, 0, 0, 0, 0, 5, 6, 78
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\AIChat\ConversationList.tsx", "TypeScript JSX", 0, 0, 0, 77, 0, 0, 0, 0, 0, 2, 11, 90
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Client.tsx", "TypeScript JSX", 0, 0, 0, 63, 0, 0, 0, 0, 0, 5, 6, 74
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\CoderEditor\Editor.tsx", "TypeScript JSX", 0, 0, 0, 161, 0, 0, 0, 0, 0, 24, 17, 202
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\CoderEditor\index.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 8, 2, 28
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\CoderEditor\inlineCompletionProvider.ts", "TypeScript", 0, 126, 0, 0, 0, 0, 0, 0, 0, 36, 29, 191
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Control-Router\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 6, 28
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Control-Router\PublicRoute.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 7, 27
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Editor.tsx", "TypeScript JSX", 0, 0, 0, 133, 0, 0, 0, 0, 0, 9, 15, 157
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\FileListItem.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 8, 79
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\FileNameList.tsx", "TypeScript JSX", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 4, 55
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\FileTree\FileTree.tsx", "TypeScript JSX", 0, 0, 0, 676, 0, 0, 0, 0, 0, 56, 66, 798
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 185, 0, 0, 0, 0, 0, 17, 26, 228
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\LeetCode.tsx", "TypeScript JSX", 0, 0, 0, 331, 0, 0, 0, 0, 0, 11, 26, 368
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Message.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
