Date : 2025-12-24 01:38:02
Directory : c:\Users\Lenovo\Desktop\React——Editor\server
Total : 194 files,  -25408 codes, -816 comments, -978 blanks, all -27202 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Markdown           |          7 |        621 |          0 |        225 |        846 |
| JavaScript         |          2 |         10 |          1 |         -1 |         10 |
| JSON with Comments |          3 |          0 |          0 |          0 |          0 |
| XML                |          2 |         -2 |          0 |          0 |         -2 |
| HTML               |          3 |        -33 |          0 |         -3 |        -36 |
| CSS                |          4 |       -274 |         -8 |        -38 |       -320 |
| TypeScript         |         98 |     -2,203 |       -385 |       -407 |     -2,995 |
| TypeScript JSX     |         62 |     -6,115 |       -420 |       -749 |     -7,284 |
| JSON               |         13 |    -17,412 |         -4 |         -5 |    -17,421 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |        194 |    -25,408 |       -816 |       -978 |    -27,202 |
| . (Files)                                                                                           |          7 |     11,486 |          1 |          6 |     11,493 |
| ..                                                                                                  |        141 |    -39,583 |     -1,170 |     -1,682 |    -42,435 |
| ..\client                                                                                           |        141 |    -39,583 |     -1,170 |     -1,682 |    -42,435 |
| ..\client (Files)                                                                                   |         10 |     -9,794 |         -6 |        -15 |     -9,815 |
| ..\client\code-start                                                                                |          7 |    -19,159 |          0 |        -13 |    -19,172 |
| ..\client\code-start\react-ts                                                                       |          7 |    -19,159 |          0 |        -13 |    -19,172 |
| ..\client\code-start\react-ts (Files)                                                               |          3 |    -19,125 |          0 |         -3 |    -19,128 |
| ..\client\code-start\react-ts\public                                                                |          1 |         -1 |          0 |          0 |         -1 |
| ..\client\code-start\react-ts\src                                                                   |          3 |        -33 |          0 |        -10 |        -43 |
| ..\client\public                                                                                    |          1 |         -1 |          0 |          0 |         -1 |
| ..\client\src                                                                                       |        123 |    -10,629 |     -1,164 |     -1,654 |    -13,447 |
| ..\client\src (Files)                                                                               |          5 |       -311 |        -34 |        -62 |       -407 |
| ..\client\src\api                                                                                   |          7 |       -239 |        -48 |        -58 |       -345 |
| ..\client\src\api (Files)                                                                           |          1 |        -30 |         -8 |        -10 |        -48 |
| ..\client\src\api\ai                                                                                |          2 |        -24 |          0 |         -6 |        -30 |
| ..\client\src\api\auth                                                                              |          2 |        -53 |         -8 |        -11 |        -72 |
| ..\client\src\api\room                                                                              |          2 |       -132 |        -32 |        -31 |       -195 |
| ..\client\src\assets                                                                                |          1 |         -1 |          0 |          0 |         -1 |
| ..\client\src\components                                                                            |         45 |     -4,358 |       -295 |       -507 |     -5,160 |
| ..\client\src\components (Files)                                                                    |         12 |     -1,384 |        -89 |       -166 |     -1,639 |
| ..\client\src\components\AIChat                                                                     |          7 |       -634 |        -58 |        -63 |       -755 |
| ..\client\src\components\CoderEditor                                                                |          3 |       -305 |        -68 |        -48 |       -421 |
| ..\client\src\components\Control-Router                                                             |          2 |        -37 |         -5 |        -13 |        -55 |
| ..\client\src\components\FileTree                                                                   |          1 |       -676 |        -56 |        -66 |       -798 |
| ..\client\src\components\member                                                                     |          2 |       -126 |         -4 |        -13 |       -143 |
| ..\client\src\components\permission                                                                 |          3 |       -116 |         -5 |        -22 |       -143 |
| ..\client\src\components\room                                                                       |          3 |       -315 |        -10 |        -25 |       -350 |
| ..\client\src\components\ui                                                                         |         12 |       -765 |          0 |        -91 |       -856 |
| ..\client\src\core                                                                                  |          8 |       -397 |        -57 |        -75 |       -529 |
| ..\client\src\core (Files)                                                                          |          1 |         -2 |         -5 |         -3 |        -10 |
| ..\client\src\core\config                                                                           |          2 |       -102 |         -9 |        -28 |       -139 |
| ..\client\src\core\i18n                                                                             |          3 |       -233 |        -19 |        -22 |       -274 |
| ..\client\src\core\i18n (Files)                                                                     |          1 |        -19 |         -1 |         -4 |        -24 |
| ..\client\src\core\i18n\locales                                                                     |          2 |       -214 |        -18 |        -18 |       -250 |
| ..\client\src\core\store                                                                            |          2 |        -60 |        -24 |        -22 |       -106 |
| ..\client\src\lib                                                                                   |          1 |         -5 |          0 |         -2 |         -7 |
| ..\client\src\modules                                                                               |         27 |     -2,972 |       -433 |       -621 |     -4,026 |
| ..\client\src\modules (Files)                                                                       |          1 |         -3 |         -6 |         -4 |        -13 |
| ..\client\src\modules\ai                                                                            |          5 |       -434 |       -105 |        -87 |       -626 |
| ..\client\src\modules\auth                                                                          |          5 |       -394 |        -48 |        -79 |       -521 |
| ..\client\src\modules\collaboration                                                                 |          7 |     -1,322 |       -152 |       -288 |     -1,762 |
| ..\client\src\modules\collaboration (Files)                                                         |          6 |     -1,031 |       -100 |       -232 |     -1,363 |
| ..\client\src\modules\collaboration\yjs                                                             |          1 |       -291 |        -52 |        -56 |       -399 |
| ..\client\src\modules\playground                                                                    |          5 |       -358 |        -56 |        -89 |       -503 |
| ..\client\src\modules\room                                                                          |          4 |       -461 |        -66 |        -74 |       -601 |
| ..\client\src\pages                                                                                 |         12 |     -1,679 |       -129 |       -201 |     -2,009 |
| ..\client\src\template                                                                              |          4 |        -85 |          0 |        -13 |        -98 |
| ..\client\src\types                                                                                 |          2 |        -48 |         -1 |         -7 |        -56 |
| ..\client\src\types (Files)                                                                         |          1 |        -41 |         -1 |         -7 |        -49 |
| ..\client\src\types\users                                                                           |          1 |         -7 |          0 |          0 |         -7 |
| ..\client\src\utils                                                                                 |         11 |       -534 |       -167 |       -108 |       -809 |
| src                                                                                                 |         44 |      2,659 |        353 |        692 |      3,704 |
| src (Files)                                                                                         |          6 |        111 |         14 |         18 |        143 |
| src\ai                                                                                              |          4 |        152 |         13 |         35 |        200 |
| src\ai (Files)                                                                                      |          3 |        117 |         10 |         26 |        153 |
| src\ai\dto                                                                                          |          1 |         35 |          3 |          9 |         47 |
| src\auth                                                                                            |         16 |      1,276 |        102 |        382 |      1,760 |
| src\auth (Files)                                                                                    |          3 |        234 |         70 |         53 |        357 |
| src\auth\decorators                                                                                 |          2 |         11 |         20 |          5 |         36 |
| src\auth\filters                                                                                    |          1 |          0 |          0 |          1 |          1 |
| src\auth\guards                                                                                     |          2 |         20 |          5 |          6 |         31 |
| src\auth\leads                                                                                      |          5 |        947 |          0 |        309 |      1,256 |
| src\auth\strategies                                                                                 |          3 |         64 |          7 |          8 |         79 |
| src\chat                                                                                            |          3 |        433 |        113 |         81 |        627 |
| src\dto                                                                                             |          2 |         21 |          0 |          8 |         29 |
| src\room                                                                                            |          9 |        524 |         95 |        141 |        760 |
| src\room (Files)                                                                                    |          3 |        390 |         70 |         96 |        556 |
| src\room\dto                                                                                        |          4 |         45 |          1 |          8 |         54 |
| src\room\entities                                                                                   |          2 |         89 |         24 |         37 |        150 |
| src\user                                                                                            |          4 |        142 |         16 |         27 |        185 |
| src\user (Files)                                                                                    |          3 |        102 |         10 |         15 |        127 |
| src\user\entities                                                                                   |          1 |         40 |          6 |         12 |         58 |
| test                                                                                                |          2 |         30 |          0 |          6 |         36 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                            | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\package-lock.json                  | JSON               |    -19,094 |          0 |         -1 |    -19,095 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\package.json                       | JSON               |        -23 |          0 |         -1 |        -24 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\public\index.html                  | HTML               |         -1 |          0 |          0 |         -1 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\src\App.tsx                        | TypeScript JSX     |        -10 |          0 |         -3 |        -13 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\src\index.tsx                      | TypeScript JSX     |         -9 |          0 |         -4 |        -13 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\src\style.css                      | CSS                |        -14 |          0 |         -3 |        -17 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\tsconfig.json                      | JSON with Comments |         -8 |          0 |         -1 |         -9 |
| c:\Users\Lenovo\Desktop\React——Editor\client\components.json                                        | JSON               |        -22 |          0 |         -1 |        -23 |
| c:\Users\Lenovo\Desktop\React——Editor\client\eslint.config.js                                       | JavaScript         |        -22 |          0 |         -2 |        -24 |
| c:\Users\Lenovo\Desktop\React——Editor\client\index.html                                             | HTML               |        -13 |          0 |         -2 |        -15 |
| c:\Users\Lenovo\Desktop\React——Editor\client\package-lock.json                                      | JSON               |     -9,570 |          0 |         -1 |     -9,571 |
| c:\Users\Lenovo\Desktop\React——Editor\client\package.json                                           | JSON               |        -85 |          0 |         -1 |        -86 |
| c:\Users\Lenovo\Desktop\React——Editor\client\public\vite.svg                                        | XML                |         -1 |          0 |          0 |         -1 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\App.css                                            | CSS                |          0 |          0 |         -1 |         -1 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\App.tsx                                            | TypeScript JSX     |        -84 |        -23 |        -26 |       -133 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\action.ts                                          | TypeScript         |        -17 |         -3 |         -3 |        -23 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\ai\ai.ts                                       | TypeScript         |        -14 |          0 |         -5 |        -19 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\ai\types.ts                                    | TypeScript         |        -10 |          0 |         -1 |        -11 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\auth\auth.ts                                   | TypeScript         |        -32 |         -8 |         -8 |        -48 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\auth\types.ts                                  | TypeScript         |        -21 |          0 |         -3 |        -24 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\room\api.ts                                    | TypeScript         |        -71 |        -18 |        -17 |       -106 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\room\types.ts                                  | TypeScript         |        -61 |        -14 |        -14 |        -89 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\socket.ts                                      | TypeScript         |        -30 |         -8 |        -10 |        -48 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\assets\react.svg                                   | XML                |         -1 |          0 |          0 |         -1 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\AIChat\ChatHeader.tsx                   | TypeScript JSX     |       -106 |         -7 |        -10 |       -123 |
